微信支付账单明细,,,,,,,,
微信昵称：[偈妮],,,,,,,,
起始时间：[2020-10-12 00:00:00] 终止时间：[2020-10-12 23:59:59],,,,,,,,
导出类型：[全部],,,,,,,,
导出时间：[2020-10-19 21:49:08],,,,,,,,
,,,,,,,,
共76笔记录,,,,,,,,
收入：5笔 1000.00元,,,,,,,,
支出：71笔 1655.30元,,,,,,,,
中性交易：0笔 0.00元,,,,,,,,
注：,,,,,,,,
1. 充值/提现/理财通购买/零钱通存取/信用卡还款等交易，将计入中性交易,,,,,,,,
2. 本明细仅展示当前账单中的交易，不包括已删除的记录,,,,,,,,
3. 本明细仅供个人对账使用,,,,,,,,
,,,,,,,,
----------------------微信支付账单明细列表--------------------,,,,,,,,
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2020-10-12 23:38:14,微信红包（群红包）,发出群红包,"/",支出,¥3.00,零钱,已退款(￥0.30),100003990120101200077141549244158176	,1000039901202010127397635599745	,"/"
2020-10-12 23:37:57,微信红包（群红包）,发出群红包,"/",支出,¥3.00,零钱,支付成功,100003990120101200077141549243480176	,1000039901202010127369574888816	,"/"
2020-10-12 23:37:08,转账,二组,"转账备注:微信转账",支出,¥80.00,零钱,朋友已收钱,100005000120101200077142049376859176	,1000050001202010121605722810351	,"/"
2020-10-12 23:14:48,微信红包（群红包）,发出群红包,"/",支出,¥3.00,零钱,支付成功,100003990120101200077142049316850176	,1000039901202010127022047496628	,"/"
2020-10-12 23:14:31,转账,瀮风,"转账备注:微信转账",收入,¥200.00,/,已存入零钱,1000050001202010120908295390020	,/	,"/"
2020-10-12 23:14:04,微信红包（群红包）,发出群红包,"/",支出,¥3.00,零钱,支付成功,100003990120101200077142149303572176	,1000039901202010127050977027703	,"/"
2020-10-12 22:30:42,微信红包（群红包）,发出群红包,"/",支出,¥1.50,零钱,支付成功,100003990120101200077142049160039176	,1000039901202010127114215828858	,"/"
2020-10-12 22:30:29,微信红包（群红包）,发出群红包,"/",支出,¥1.50,零钱,支付成功,100003990120101200077141549024257176	,1000039901202010127354343939751	,"/"
2020-10-12 22:30:07,微信红包（群红包）,发出群红包,"/",支出,¥9.00,零钱,支付成功,100003990120101200077142149147889176	,1000039901202010127180217605895	,"/"
2020-10-12 22:29:55,微信红包（群红包）,发出群红包,"/",支出,¥6.00,零钱,支付成功,100003990120101200077142049156777176	,1000039901202010127008506253649	,"/"
2020-10-12 22:26:31,微信红包（群红包）,发出群红包,"/",支出,¥3.00,零钱,支付成功,100003990120101200077141549007646176	,1000039901202010127263437608861	,"/"
2020-10-12 22:24:52,微信红包（群红包）,发出群红包,"/",支出,¥3.00,零钱,支付成功,100003990120101200077141249200981176	,1000039901202010127184854704787	,"/"
2020-10-12 21:31:42,微信红包（群红包）,发出群红包,"/",支出,¥1.50,零钱,支付成功,100003990120101200077141548737992176	,1000039901202010127163018090879	,"/"
2020-10-12 21:31:20,微信红包（群红包）,发出群红包,"/",支出,¥3.00,零钱,支付成功,100003990120101200077141548735956176	,1000039901202010127028456745711	,"/"
2020-10-12 21:16:18,转账,五组,"转账备注:微信转账",支出,¥80.00,零钱,朋友已收钱,100005000120101200077141248855786176	,1000050001202010121703054765489	,"/"
2020-10-12 21:08:31,微信红包（群红包）,发出群红包,"/",支出,¥2.70,零钱,支付成功,100003990120101200077141248812515176	,1000039901202010127420038382617	,"/"
2020-10-12 21:08:17,微信红包（群红包）,发出群红包,"/",支出,¥3.30,零钱,支付成功,100003990120101200077141148430810176	,1000039901202010127409201315767	,"/"
