微信支付账单明细,,,,,,,,
微信昵称：[偈妮],,,,,,,,
起始时间：[2020-10-16 00:00:00] 终止时间：[2020-10-16 23:59:59],,,,,,,,
导出类型：[全部],,,,,,,,
导出时间：[2020-10-18 19:50:38],,,,,,,,
,,,,,,,,
共70笔记录,,,,,,,,
收入：17笔 1007.80元,,,,,,,,
支出：53笔 1199.40元,,,,,,,,
中性交易：0笔 0.00元,,,,,,,,
注：,,,,,,,,
1. 充值/提现/理财通购买/零钱通存取/信用卡还款等交易，将计入中性交易,,,,,,,,
2. 本明细仅展示当前账单中的交易，不包括已删除的记录,,,,,,,,
3. 本明细仅供个人对账使用,,,,,,,,
,,,,,,,,
----------------------微信支付账单明细列表--------------------,,,,,,,,
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2020-10-16 23:48:30,转账,六组潘潘,"转账备注:微信转账",支出,¥80.00,零钱,朋友已收钱,100005000120101600077141269515427176	,1000050001202010160200350904632	,"/"
2020-10-16 23:34:38,转账,RiNaxxx🧸预备6组长,"转账备注:微信转账",支出,¥40.00,零钱,朋友已收钱,100005000120101600077141269479348176	,1000050001202010160907787891148	,"/"
2020-10-16 23:34:27,转账,无可替代的你预备5组长,"转账备注:微信转账",支出,¥40.00,零钱,朋友已收钱,100005000120101600077141569283550176	,1000050001202010160907969369004	,"/"
2020-10-16 23:34:17,转账,mi预备4组长,"转账备注:微信转账",支出,¥40.00,零钱,朋友已收钱,100005000120101600077142069413876176	,1000050001202010161402217899041	,"/"
2020-10-16 23:34:06,转账,阿霂是太阳🔆预备3组长,"转账备注:微信转账",支出,¥40.00,零钱,朋友已收钱,100005000120101600077142569289370176	,1000050001202010160808450512431	,"/"
2020-10-16 23:33:54,转账,🐯预备1组长,"转账备注:微信转账",支出,¥40.00,零钱,朋友已收钱,100005000120101600077142069412801176	,1000050001202010161909380632694	,"/"
2020-10-16 23:31:53,微信红包（群红包）,发出群红包,"/",支出,¥1.00,零钱,支付成功,100003980120101600077142569283150176	,1000039801202010167261737652778	,"/"
2020-10-16 23:31:32,转账,瀮风,"转账备注:微信转账",收入,¥200.00,/,已存入零钱,1000050001202010161608027771878	,/	,"/"
2020-10-16 23:31:19,微信红包（群红包）,发出群红包,"/",支出,¥3.00,零钱,支付成功,100003980120101600077142069405598176	,1000039801202010167078346897616	,"/"
2020-10-16 23:30:43,微信红包（群红包）,发出群红包,"/",支出,¥1.00,零钱,支付成功,100003980120101600077142169385107176	,1000039801202010167384563815727	,"/"
2020-10-16 23:21:30,转账,五组,"转账备注:微信转账",支出,¥80.00,零钱,朋友已收钱,100005000120101600077142269372216176	,1000050001202010160903408654169	,"/"
2020-10-16 23:03:10,微信红包（群红包）,发出群红包,"/",支出,¥3.00,零钱,支付成功,100003980120101600077142269311560176	,1000039801202010167371561781899	,"/"
2020-10-16 22:38:49,微信红包（群红包）,发出群红包,"/",支出,¥4.50,零钱,支付成功,100003980120101600077141269287165176	,1000039801202010167268310194643	,"/"
